"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"S3 EP4, Data Analyst Career Path in South Africa","Yvonne Graceful","11409","476","2025-03-19T04:00:06.000Z","00:49:46","video","https://www.youtube.com/watch?v=607El_3kvRU","44"
"Best Data Analyst Certifications to Find a Job Fast in 2026","Data Logic With Shivam","32038","1900","2026-05-24T14:30:02.000Z","00:19:54","video","https://www.youtube.com/watch?v=rxzBZKszRTQ","208"
"Google’s AI Course for Beginners (in 10 minutes)!","Jeff Su","3600023","58000","2023-11-14T13:00:33.000Z","00:09:17","video","https://www.youtube.com/watch?v=Yq0QkCxoTHM","2809"
"How to Become a Data Analyst in Healthcare","Mo Chen","11104","552","2026-04-20T14:01:13.000Z","00:07:38","video","https://www.youtube.com/watch?v=lQnd0PfdLqQ","28"
"Watch This Before You Spend Money on a DATA ANALYTICS Course in India","Mansi G.","31787","1400","2026-05-09T04:30:06.000Z","00:35:30","video","https://www.youtube.com/watch?v=AUOJK6RL5t0","558"
"How I Would Become a Data Analyst In 2026 (if I had to start over again)","Avery Smith | Data Analyst","521246","20000","2024-11-19T13:30:33.000Z","00:15:39","video","https://www.youtube.com/watch?v=mSWtnjq4LRE","552"
"Microsoft Says Its Over For Data Analysts","Kedeisha Bryan - Your Data Career Coach","14790","548","2026-03-11T13:30:55.000Z","00:12:49","video","https://www.youtube.com/watch?v=j0e_louyG1M","53"
"My HONEST Thoughts on The Data Job Market in 2026","Avery Smith | Data Analyst","76085","1800","2026-01-13T13:00:06.000Z","00:10:03","video","https://www.youtube.com/watch?v=YaUzUodSdQw","227"
"Data Analysis with Python Course - Numpy, Pandas, Data Visualization","freeCodeCamp.org","3285557","75000","2021-02-18T17:03:50.000Z","09:56:22","video","https://www.youtube.com/watch?v=GPVsHOlRBBI","933"
"Give me 5 minutes, and I'll teach you how to become a Top Data Analyst","Abhay Bhagat","519625","33000","2025-05-16T09:54:45.000Z","00:05:01","video","https://www.youtube.com/watch?v=BIv4PHA_rek","0"
